model,mae,rmse,evaluation_scope,rmse_imp_vs_arima,mae_imp_vs_arima,better_than_arima_rmse,better_than_arima_mae
ARIMA,0.4247,0.6444,total_test,0.0,0.0,False,False
LSTM,0.2384,0.9382,total_test,-45.59,43.87,False,True
