epoch,train_loss,val_loss,lr
1,0.15591191028594223,0.025182156957471714,0.001
2,0.0748621393808016,0.022650287569925997,0.001
3,0.07008348684670225,0.020196913075147354,0.001
4,0.06648940692189349,0.0205166899615624,0.001
5,0.06498311996062285,0.01971165168496331,0.001
6,0.0631881630542327,0.019181107061531266,0.001
7,0.06298217194233809,0.02011033431111108,0.001
8,0.060126717071658585,0.021259051578886076,0.001
9,0.058615240679243855,0.020132918549300875,0.001
10,0.057874941659778405,0.020200242480948465,0.001
11,0.05652185654270593,0.02046590753748152,0.001
12,0.05591185494228098,0.02007248288503262,0.001
13,0.0550861049496117,0.020678651502134757,0.001
14,0.053737105344958735,0.02010892265495131,0.001
15,0.05356688017794625,0.02001855826809709,0.001
16,0.05289340416551385,0.020116839571275746,0.001
17,0.05289541327480806,0.021291964282494937,0.0005
18,0.051301424896558,0.020379579769714246,0.0005
19,0.04968332299842752,0.020607056291833424,0.0005
20,0.048842398953306804,0.02078040733335131,0.0005
21,0.04869948939728774,0.021165267703707576,0.0005
22,0.04826796491465164,0.021762560914430264,0.0005
23,0.04829294962612576,0.022569636760241846,0.0005
24,0.04781164275467677,0.02052897839310814,0.0005
25,0.04681877057701116,0.022866551257673395,0.0005
26,0.04600317449640816,0.023668370419838967,0.0005
27,0.045794554611483775,0.025890586314662394,0.0005
28,0.04502084707984558,0.025942525438963374,0.00025
29,0.04411528950302717,0.026580401838467486,0.00025
30,0.043268061201183164,0.0264148709405892,0.00025
31,0.042909645782769006,0.03108022274762884,0.00025
